country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,,44.7,,,30.1,,
Costa Rica,,,,,,,,,,,,,,,,64.4,64.4,63.8,,,65.2,,,,,69.5,,,,,,,75,,,,,,80,,,,,,96,,96,80,81.1,82.2,76.2,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,11.4,,,,,15,,,,,,,12.9,,,,,,18.2,,,,15.5,
Croatia,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,60,,60,,,,,70,,,,,,,,,,,,,73.3,,,,,,72.6,77.1,,77.8,77.8,74.3,,,73.7,,,
Czech Republic,,,,,,,,,,66,,,,,,,95,,,,,,,,,,,,,,78,,68.9,,,,72,,,,,,,,78.2,,,86.3,,,,,,,,,
Denmark,,,,,,,,,,67,,,,,63,,,,,,,,,,,,,78,,,,76.5,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,17.8,,22.5,,,,19,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,62.3,62.3,,,,,49.8,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,31.8,,,,,42,,,45.8,,,49.8,,,,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,73,,,71.9,69.5,,,
Ecuador,,,,,,,,,,,,,,,,,,,33.6,33.6,,39.9,,,,,44.3,,52.9,,,,,56.8,,,,,65.8,,,,,72.7,,,,,,,,80.1,,,,,
Egypt,,,,,,,,,,,,,,,24.9,,,,,31.4,,,,30.3,,,,37.8,37.8,,47.6,47.1,,,47.9,47.9,54.5,54.5,,56.1,,,60,,59.2,,,60.3,,,,,,58.5,,,
El Salvador,,,,,,,,,,,,,,,21.6,,,34.4,,,,,,,47.3,,,47.1,,,,,53.3,,,,,60,,,,,66.9,,,,,72.3,,,,,,72,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,12.6,,,,,,
