country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
St. Lucia,,,,,,,,,,,,,,,,,,,,,52.2,52.2,,,,,,47.3,,,,,,,,,,47,,,,,,,,,,,,,,55.5,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,55.5,55.5,,,,,,58.3,,,,,,,,,,58,,,,,,,48,48,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,8.7,,,9.9,,,,,,7,,,,,,,9.5,,,,9,,,,12.2,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,42.1,,,,,,45.6,,,,47.6,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,19.8,,,,,,,,,,,27.7,,40.1,,,,,50.6,,,65.2,,,,66.1,,,
Sweden,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,75.2,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,71.2,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,72.9,,,,,
Syria,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,39.6,,,,,,,45.3,46.6,,,,,58.3,,,,53.9,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,25.3,24.6,37.9,28.5,37.1,,,,,27.9,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,20.4,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,,,,,,38.4,
Thailand,,,,,,,,,,14.8,,,26.3,,36.7,,,53.4,53.4,,59,,,64.6,,,65.5,,66.2,,,,73.9,,,75.2,72.2,,,79.2,77.8,,,,71.5,71.5,,,79.6,,,79.3,,,,78.4,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,22.6,,,26.7,,,,8,,10,,,,19.8,,,22.3,,,,,,26.1,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,23.5,,25.7,,,,,,16.8,,,,15.2,,,,19.9,,,
Tonga,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,41,,32.8,33,,23,,,,23.9,,,,31.5,,34.1,,,,,
Trinidad and Tobago,,,,,,,,,,,43.6,,,,,,60.2,,,,,,,,,,52.7,,,,,,,,,,,,,38.2,,,,,,42.5,,,,,40.3,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,31.4,,,,,41.1,,,,,49.8,,,,,,,60,,,,,65.5,62.6,,,,,60.2,,,,,,62.5,,,,,
Turkey,,,22.1,,,,,31.6,,,,,36.8,,,,,50.4,,,,,50.6,,,,,63.4,,,,,62.6,,,,,63.9,,,,,71,,,,,73,73,,,,73.5,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,,48,,,,,,,,,,50.2,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,31.6,,,,,30.5,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,30,,,27.2,34.3,39,38.4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,,65.4,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,77,,,,,,,83,,,81,,,69,,70,,82,,82,82,,83,82,76,80,83,80,84,82,82,84,82,84,,,,,,,,
United States,,,,,66.5,,,,,67.6,,,69.6,,79,67.7,,,,,,69.5,,,,,,74.3,,70.7,,,,,76.4,,,,,,,72.8,,,,,77.1,77.1,,76.4,,74.1,,72.7,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,84,,,,,,,77,78,,,,,,,,,,79.6,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,15,,,,39,,,,28,,,,,,,,38.4,,,,,,49,,,,
Venezuela,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,58,,,,,70.3,,,,,,,,,,,,75,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,20,,,,,58,,53.2,,,,,,65,,,75.3,71.9,,74.2,73.9,78.5,75.3,75.7,76.8,75.7,79,79.4,,78,77.8,76.3,77.3,75.7,75.7,,
Yemen,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,9.7,,,,,20.8,,,,,,23.1,,,27.7,,,,,,,33.5,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,25.9,25.9,,22,,,34.2,,,,,40.8,,,,,,,49,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,43.1,43.1,,,,,48.1,,,,,53.5,,,,,,,60.2,,,64.9,,58.5,,,66.9,66.8,,
